Unnamed: 0,Unnamed: 1,TABELA DE MEDICAMENTOS - PLANSERV ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,VERSÃO,2026-02-01 00:00:00,,,
,,,,,,
,,,,,,
CÓDIGO DO GRUPO,GRUPO DE CLASSIFICAÇÃO,CÓDIGO DO MEDICAMENTO,DESCRIÇÃO DO MEDICAMENTO,FRAÇÃO,UNIDADE,VALOR (R$)
2014,ANTINEOPLÁSICOS,90391233,POMALYST 2 MG CAP DURA,1,CAP,759.99
2014,ANTINEOPLÁSICOS,90391241,POMALYST 1 MG CAP DURA,1,CAP,696.56
2014,ANTINEOPLÁSICOS,90391250,POMALYST 3 MG CAP DURA,1,CAP,759.99
2014,ANTINEOPLÁSICOS,90391268,"LETROZOL 2,5 MG COM REV",1,COMP,17.96
2014,ANTINEOPLÁSICOS,90391276,LENALIDOMIDA 25 MG CAP DURA,1,CAP,871.43
2014,ANTINEOPLÁSICOS,90391284,LENALIDOMIDA 15 MG CAP DURA,1,CAP,759.33
2014,ANTINEOPLÁSICOS,90391292,LENALIDOMIDA 10 MG CAP DURA,1,CAP,719.88
2014,ANTINEOPLÁSICOS,90391306,LENALIDOMIDA 5 MG CAP DURA,1,CAP,733.47
2014,ANTINEOPLÁSICOS,90391314,GEFITINIBE 250 MG COM REV,1,COMP,107.7
2014,ANTINEOPLÁSICOS,90391322,CALQUENCE 100 MG COM REV,1,COMP,486.52
2014,ANTINEOPLÁSICOS,90391330,BRUKINSA 80 MG CAP DURA,1,CAP,241.67
2014,ANTINEOPLÁSICOS,90391349,MALATO DE SUNITINIBE 50 MG CAP DURA,1,CAP,600.81
2014,ANTINEOPLÁSICOS,90391357,MALATO DE SUNITINIBE 25 MG CAP DURA,1,MG,300.41
2014,ANTINEOPLÁSICOS,90391365,"MALATO DE SUNITINIBE 12,5 MG CAP DURA",1,CAP,150.2
2014,ANTINEOPLÁSICOS,90391373,POMALYST 4 MG CAP DURA,1,CAP,978.11
2014,ANTINEOPLÁSICOS,90391225,"ERIBULINA 0,5 MG/ML SOL INJ IV CT FA X 2 ML",1,MG,1315.41
2014,ANTINEOPLÁSICOS,90391195,PALBOCICLIBE 75 MG CAP DURA,1,CAP,288.04
2014,ANTINEOPLÁSICOS,90391209,PALBOCICLIBE 100 MG CAP DURA,1,CAP,413.92
2014,ANTINEOPLÁSICOS,90391217,PALBOCICLIBE 125 MG CAP DURA,1,CAP,576.08
2013,SUPORTE MEDICAMENTOSO,90391136,REMSIMA 120 MG/ML SOL INJ SER PREENCH x 1 ML,1,SER,3530.88
2013,SUPORTE MEDICAMENTOSO,90391144,RINVOQ 15 MG COM REV LIB PROL,1,COMP,205.71
2013,SUPORTE MEDICAMENTOSO,90391152,RINVOQ 30 MG COM REV LIB PROL,1,COMP,279.08
2013,SUPORTE MEDICAMENTOSO,90391160,RINVOQ 45 MG COM REV LIB PROL,1,COMP,279.08
2000,GERAL,90391179,SUCCINATO DE DESVENLAFAXINA 100 MG COM REV LIB PROL,1,COM,3.86
2000,GERAL,90391187,"VENSATE LP 37,5 MG CAP DURA LIB PROL",1,CAP,1.18
2014,ANTINEOPLÁSICOS,90391101,"NEULASTIM OBI 10 MG/ML SER PREENCH X 0,64 ML COM APLICADOR",1,SER,4289.07
2000,GERAL,90391110,QUEPSIA 300 MG COM REV LIB PROL,1,COMP,12.9
2015,PRODUTOS NUTRICIONAIS,90391128,SUPLEMENTO NORMOCALÓRICO / HIPERPROTEICO PARCIALMENTE HIDROLISADO SACHE 10 G,1,SACH,14.9
2000,GERAL,90391080,LEVOFLOXACINO - GENERICO - 750 MG COM REV,1,COMP,9.85
2014,ANTINEOPLÁSICOS,90391098,ANYA 1 MG COMP REV,1,COMP,13.57
2000,GERAL,90390970,"VEGAPALI 100 MG/ML SUS INJ IM SER PREEC X 1,5 ML",1,SER,2367.71
2000,GERAL,90390989,VEGAPALI 100 MG/ML SUS INJ IM SER PREEC X 1 ML,1,SER,2024.89
2000,GERAL,90390997,"VEGAPALI 100 MG/ML SUS INJ IM SER PREEC X 0,75 ML",1,SER,1518.67
2000,GERAL,90391004,"VEGAPALI 100 MG/ML SUS INJ IM SER PREEC X 0,50 ML",1,SER,1012.45
2014,ANTINEOPLÁSICOS,90391012,SAUMYA 4 MG CAP DURA,1,COMP,139.8
2014,ANTINEOPLÁSICOS,90391020,SAUMYA 10 MG CAP DURA,1,COMP,344.9
2000,GERAL,90391039,TARTARATO DE METOPROLOL – GENERICO - 100 MG COM REV,1,COMP,0.94
2000,GERAL,90391047,SUCCINATO DE METOPROLOL – GENERICO - 50 MG COM REV,1,COMP,1.22
2000,GERAL,90391055,SUCCINATO DE METOPROLOL – GENERICO - 25 MG COM REV,1,COMP,0.63
2000,GERAL,90391063,CLARITROMICINA – GENERICO - 500 MG PO LIOF SOL INF IV FA,1,FA,192.76
2000,GERAL,90391071,ACESYL 100 MG/ML SOL INJ AMP VD X 1 ML,1,AMP,14.1
2014,ANTINEOPLÁSICOS,90390938,BEVYX 25 MG/ML SOL DIL INFU IV FA X 16 ML,1,MG,6.46
2014,ANTINEOPLÁSICOS,90390946,ZEVUXA 20 MG COMP REV,1,COMP,93.8
2014,ANTINEOPLÁSICOS,90390954,ZEVUXA 100 MG COM REV,1,COMP,372.55
2014,ANTINEOPLÁSICOS,90390962,BEVYX 25 MG/ML SOL DIL INFU IV FA X 4 ML,1,MG,6.37
2014,ANTINEOPLÁSICOS,90390911,ZIRABEV 25 MG/ML SOL INFUS IV FA x 16 ML,400,MG,6.46
2014,ANTINEOPLÁSICOS,90390920,ZIRABEV 25 MG/ML SOL INFUS IV FA x 4 ML,100,MG,6.37
2000,GERAL,90390873,ETIRA 100 MG/ML SOL DIL INFU IV FA X 5 ML,1,FA,6.95
2014,ANTINEOPLÁSICOS,90390881,SUPRENIQ 50 MG/ML SOL INJ SER PREENC X 5 ML,1,SER,1588.68
2014,ANTINEOPLÁSICOS,90390890,"MONBOC 0,5 MG CAP DURA",1,CAP,36.5
2014,ANTINEOPLÁSICOS,90390903,KIGEFO 250 MG COM REV,1,COM,107.7
2000,GERAL,90019181,RAGIONE - 18 MG COM REV LIB PROL,1,COMP,7.76
2000,GERAL,90019182,RAGIONE - 54 MG COM REV LIB PROL,1,COMP,10.56
2000,GERAL,90019183,RAGIONE - 36 MG COM REV LIB PROL,1,COMP,10.55
2000,GERAL,90019180,ADENOSINA – GENERICO - 3 MG/ML SOL INJ AMP VD X 2 ML,1,AMP,14.96
2000,GERAL,90019199,FERINJECT 50 MG/ML SOL INJ IV FA X 10 ML,1,FA,629.94
2000,GERAL,90005260,HALEXMINOPHEN 10 MG/ML SOL INFUS IV ENVOL BOLSA SIST FECH X 50 ML,1,BOLSA,12.47
2000,GERAL,90005279,HALEXMINOPHEN 10 MG/ML SOL INFUS IV ENVOL BOLSA SIST FECH X 100 ML,1,BOLSA,23.87
2013,SUPORTE MEDICAMENTOSO,90005287,"NEPEXTO 50 MG/ML SOL INJ SC SER PREENC X 1,0 ML",1,SER,630.87
2014,ANTINEOPLASICOS,90005295,LORBRENA 100 MG COM REV,1,COM,934.42
2014,ANTINEOPLASICOS,90005309,LORBRENA 25 MG COM REV,1,COM,238.16
2013,SUPORTE MEDICAMENTOSO,90005317,"HULIO 50 MG/ML SOL INJ SER PREENC X 0,8 ML",1,SER,1559.03
